pdate,shunt_name,user_id,menu_id
2022-10-30,A,20220824105146_febffe9b90dee85457d2b787d42f0234,1
2022-10-30,A,20220827114819_5dcd651971fbaf1abbedbce249b55575,3
2022-10-30,A,20220831094059_e0a053f23f05f77a4dbc768bdab3be28,6
2022-10-30,A,20220907135918_8a69dfc1f445aa178b0a635015cb558b,6
2022-10-30,A,20220910125523_5e82ac397c7e0c7f7698a9528ce0844a,2
2022-10-30,A,20220912161941_6a1fadc2320f6423d571922411bba803,1
2022-10-30,A,20220919171330_cc5b51e110d4c34ed05e14313489fde6,1
2022-10-30,A,20221002163056_b299c6f3d4404bd7030e0df0c036c707,1
2022-10-30,A,20221002181337_0091613387ba8eaa6771b2aa9b0006e6,3
2022-10-30,A,20221005194544_440f8ac83be35d673a48ec847e98f9ec,1
2022-10-30,A,20221009135703_54bc785d1f5461ceab271803323a0f03,1
2022-10-30,A,20221016103114_f0899098b1fd7da5c879077b08bebe81,1
2022-10-30,A,20221018190556_e00179c8e95e0aa457a4d7188c570c2a,1
2022-10-30,A,20221024151334_16035a6f588e06df2507e76f96d437ff,1
2022-10-30,A,20221024180727_0f702c7beaa56515901537fc6cd96ca7,1
2022-10-30,A,20221026174235_af07feb09c76c6d38283af191c173262,2
2022-10-30,A,20221029064500_567e813bb02810a6fe232386b6a86c51,2
2022-10-30,A,20221029132110_ddf913252759dfea1671e46f37fc5db3,3
2022-10-30,A,20221030124727_72f1c66528e5e7840421b79d2b2be20e,1
2022-10-30,A,20221030182142_16ab6af9ed694f8290ff20fc6cc1834e,3
2022-10-30,B,20201027202744_2949bbf5448768692b27fbb3111c09eb,2
2022-10-30,B,20201111201727_59a7b6303ca7ec74d56989e5ee983154,1
2022-10-30,B,20201124144830_5965423f0d7831f3f83e3fb66e86003b,2
2022-10-30,B,20210308204931_db029478a85835e3ad44c9c5601e8dad,2
2022-10-30,B,20211208185521_2d90893996d3b479686eb15d7b5864ce,1
2022-10-30,B,20220305085538_57ed146af7e66c070276fe7c4d31896d,3
2022-10-30,B,20220307103841_4cd566ed33143038f34088af5b815b39,1
2022-10-30,B,20220307222316_09ec49c8c316b6082f5942f0b4fdf3ec,1
2022-10-30,B,20220319155334_f6159506eae30779a75f3c9be05c929c,2
2022-10-30,B,20220422100309_7f12e4847dfb5496f5efb8fce0b2ce79,1
2022-10-30,B,20220524202208_f9539bf2bc6884e2bde53dc1b129d37c,1
2022-10-30,B,20220604125449_1b67cce73b26a0715b37b9a3d1b0a1dd,3
2022-10-30,B,20220608191932_5cda64a44a522e801abafc6e24296c22,1
2022-10-30,B,20220617211648_e04d2e66810a51ec5a9b257ff95096a9,1
2022-10-30,B,20220619140323_bdf5669df36c681ead43533d1db7c1a6,1
2022-10-30,B,20220714194911_1b6ff98d94e23c7e22105addc3e4c85e,1
2022-10-30,B,20220719232925_8b76f10ec98202bcaac24a2fdca2dcd0,2
2022-10-30,B,20220813134659_944d695b306bd6987f0c1945285befb2,2
2022-10-30,B,20220818153217_12c8289745567e51539e862259eed1d9,1
2022-10-30,B,20220822100255_81e8e3f06f92b16fc5b86092729f40ec,2
2022-10-30,B,20220824122911_f79a9f9794f1447d20efea7829f91fe2,1
2022-10-30,B,20220827014741_58ab3abead06682a2b76a646df7a81d4,1
2022-10-30,B,20220827202554_463e66035631a5a83c8e80dfd0e4d455,1
2022-10-30,B,20220830221405_eda0424648a0895a8c336c2c0f10d589,8
2022-10-30,B,20220905205252_d881d7049af32bbe649d1e2c5c18a437,1
2022-10-30,B,20220910161345_c5a885964e4354935c30ba7bb7f1dc2b,1
2022-10-30,B,20220910231627_da0aea1d630b4c3e383902062bcaadb5,1
2022-10-30,B,20220911185035_4515d22a3d3222807cf297adacb0babc,1
2022-10-30,B,20220913214501_e9696ab8c4df5957782f4b61fea52e6d,1
2022-10-30,B,20220929104509_8f04dfade596d3c634d3a22714dd4ea0,4
2022-10-30,B,20221005091639_4ce3a4bc218667afccb394c914ee8f71,2
2022-10-30,B,20221005115921_30bcfa2f155f5688dc0e63d553f17be4,2
2022-10-30,B,20221006181354_f8c376992eb85c4bc500bcd795633a32,1
2022-10-30,B,20221010132746_3cb4bcd2bc2af52cd629d710e89c2367,2
2022-10-30,B,20221010185704_8f6b4729c633867376ae6411fe4e3840,1
2022-10-30,B,20221016213743_a3eb2161835b80504af689cb7e0f2f9f,1
2022-10-30,B,20221025132737_eb883f7f7a342bdc2890d342d4cb2b4f,1
2022-10-30,B,20221025195905_4fa803116d7dbc319bfca18395b4e130,4
2022-10-30,B,20221026202709_4d3186767164fd4821db1b99c44d6bf8,3
2022-10-30,B,20221028194823_b10d26c98d93e455612286ed3e21533d,1
2022-10-30,B,20221029133923_2cfe9cfe1c754f4dfe34abb9e018840a,1
2022-10-30,B,20221029221026_9e7d232db7e6ab98a00a889a42238b13,1
2022-10-30,B,20221030075327_296e14991a691b1350d40acf6780ce4b,1
2022-10-30,B,20221030100919_de0cc5196ee04d8a5c68d370afb618e5,1
2022-10-30,B,20221030113501_12d66fd1fc3898a2af803fe96178f643,1
2022-10-30,B,20221030181608_c81417dd24319ccef1b1ab201a7584d8,1
2022-10-30,B,20221030194321_b6dfb828fdd6785b5199a039e4b878a4,1
2022-10-31,A,20201231105641_b03a1690ac3a3675dddbe93451902bd1,1
2022-10-31,A,20210313202109_fcfc90a352eb3d3966a8069908433e90,1
2022-10-31,A,20210521205917_9dd09c947c42112a99b65ca68f7e5c58,1
2022-10-31,A,20220208204516_ebf82c01e02afd3503ad589870256fbe,1
2022-10-31,A,20220212110620_e2a7cfd9a03e593d9dba383fd912c4f9,3
2022-10-31,A,20220310193930_7ebe38cd52669708eb69e61df2e83bb7,1
2022-10-31,A,20220320185752_282236b2cba2e115b11b621b089786fd,1
2022-10-31,A,20220416190649_d2ec8a81fc29da74aae9117de7475adc,1
2022-10-31,A,20220429205132_726261991b2355ad307519cfa1c672f1,1
2022-10-31,A,20220513193400_46e6a321cce0180eef58ab8048fd0818,3
2022-10-31,A,20220602150544_ef0f26e8f6849211b2d72e3d7a39eb55,2
2022-10-31,A,20220615195502_8f618f6179b9ded3496fa65136d5652e,2
2022-10-31,A,20220712150233_d19d76b3bd6eed4b66d89c70e9f0e07f,1
