pdate,menu_name,A,B
2022-10-21,油焖茄子,11.0,3.0
2022-10-21,青椒炒蛋,1.0,3.0
2022-10-21,蚝油生菜,3.0,2.0
2022-10-21,麻婆豆腐,2.0,2.0
2022-10-21,辣椒炒肉,1.0,2.0
2022-10-21,板栗焖鸡块（滋补餐）,,2.0
2022-10-21,一品豆腐,,1.0
2022-10-21,油焖香菇（滋补餐）,,1.0
2022-10-21,蒜蓉菠菜,,1.0
2022-10-21,糖醋包菜,8.0,
2022-10-21,酸辣白菜,6.0,
2022-10-21,肉末茄子,5.0,
2022-10-21,香菇青菜,3.0,
2022-10-21,澳洲谷饲西冷牛排,2.0,
2022-10-21,红烧肉（家常版）,2.0,
2022-10-21,干炒牛河,1.0,
2022-10-21,排骨炖土豆,1.0,
2022-10-21,松茸鸡汤（滋补餐）,1.0,
2022-10-21,米兰式煎牛排,1.0,
2022-10-21,红烧排骨,1.0,
2022-10-21,茄汁花菜,1.0,
2022-10-21,蒜蓉菜心,1.0,
2022-10-20,酸辣土豆丝,9.0,18.0
2022-10-20,西红柿炒蛋,11.0,14.0
2022-10-20,虾仁炒蛋,7.0,10.0
2022-10-20,油焖茄子,5.0,8.0
2022-10-20,养生小炒（滋补餐）,3.0,7.0
2022-10-20,一品豆腐,,7.0
2022-10-20,松茸鸡汤（滋补餐）,1.0,6.0
2022-10-20,辣椒炒肉,1.0,6.0
2022-10-20,三丝烩百叶,,6.0
2022-10-20,麻婆豆腐,2.0,5.0
2022-10-20,板栗焖鸡块（滋补餐）,1.0,4.0
2022-10-20,茄汁花菜,1.0,3.0
2022-10-20,青椒炒蛋,1.0,3.0
2022-10-20,蒜蓉菠菜,1.0,2.0
2022-10-20,芹菜牛肉丝,,2.0
